"id","Y","HMGCS","HMGCR","MK","PMK","DPMVD","DXPS","DXR","CMT","CMK","MECPS","HDS","HDS2","HDR","HDR2","PMK2","IPDDI","IPDDI2","IPDDI1","DMAT","GTT"
"544644.3","1","0","0","0","0","0","1","1","0","1","1","0","1","0","1","0","0","0","0","0","0"
"1121129.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","1","0","0","1","0"
"1121130.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0"
"742817.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","1","0","0","1","1"
"709991.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0"
"742726.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","0","1","0"
"742766.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","0","1","1"
"742767.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","0","1","1"
"435591.13","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","1","0","0","1","1"
"999416.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1"
"999417.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1"
"6666666.201655","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1"
"999418.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","0"
"927665.4","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","1","0","0"
"1235789.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","0"
"1122931.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0"
"999419.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","1","0","0","1","0"
"537006.5","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1"
"411477.4","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","1","0","0","1","1"
"999420.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","1","0","0","1","0"
"999421.3","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","1","0","0"
"6666666.205271","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1"
"457388.5","1","0","0","0","0","0","1","1","1","1","1","1","0","1","0","0","1","0","0","1","1"
